iata,lat,lon
ABE,40.65472222,-75.43833333
ABI,32.40944444,-99.67972222
ABQ,35.04166667,-106.60638889
ABR,45.44972222,-98.42166667
ABY,31.53222222,-84.19611111
ACK,41.25666667,-70.05972222
ACT,31.61138889,-97.22861111
ACV,40.97916667,-124.1075
ACY,39.45611111,-74.57805556
ADK,51.88277778,-176.64472222
ADQ,57.75,-152.49388889
AEX,31.32416667,-92.54694444
AGS,33.36916667,-81.96444444
AKN,58.67777778,-156.65166667
ALB,42.74583333,-73.80527778
ALO,42.55611111,-92.39972222
ALS,37.43666667,-105.86666667
ALW,46.09472222,-118.29111111
AMA,35.22722222,-101.72194444
ANC,61.16916667,-149.98527778
APN,45.08166667,-83.55583333
ASE,39.22416667,-106.86888889
ATL,33.64083333,-84.42722222
ATW,44.25777778,-88.52
ATY,44.90888889,-97.15416667
AUS,30.19444444,-97.67
AVL,35.435,-82.54111111
AVP,41.33916667,-75.72583333
AZA,33.30777778,-111.65555556
AZO,42.23638889,-85.55361111
BDL,41.93861111,-72.68333333
BET,60.78444444,-161.83138889
BFF,41.87527778,-103.60111111
BFL,35.43,-119.05222222
BFM,30.62638889,-88.06805556
BGM,42.20138889,-75.96916667
BGR,44.80777778,-68.82777778
BHM,33.56305556,-86.75555556
BIH,37.37333333,-118.365
BIL,45.80694444,-108.54277778
BIS,46.77888889,-100.7525
BJI,47.50972222,-94.93472222
BKG,36.53194444,-93.20055556
BLI,48.79444444,-122.53472222
BLV,38.54277778,-89.85111111
BMI,40.48194444,-88.9275
BNA,36.12666667,-86.68194444
BOI,43.56527778,-116.225
BOS,42.36361111,-71.00611111
BPT,29.95083333,-94.02
BQK,31.25888889,-81.46638889
BQN,18.49583333,-67.13
BRD,46.39722222,-94.1375
BRO,25.90638889,-97.42555556
BRW,71.28555556,-156.76611111
BTM,45.95111111,-112.49388889
BTR,30.53166667,-91.15055556
BTV,44.47277778,-73.15305556
BUF,42.94111111,-78.73638889
BUR,34.2,-118.35777778
BWI,39.175,-76.67
BZN,45.78027778,-111.15944444
CAE,33.93638889,-81.11583333
CAK,40.91388889,-81.44166667
CDB,55.19972222,-162.71972222
CDC,37.7025,-113.09611111
CDV,60.49305556,-145.47
CGI,37.22361111,-89.57166667
CHA,35.03638889,-85.20361111
CHO,38.14138889,-78.45305556
CHS,32.89916667,-80.03888889
CID,41.88444444,-91.70611111
CIU,46.24194444,-84.46611111
CKB,39.29555556,-80.22944444
CLD,33.12861111,-117.27972222
CLE,41.41083333,-81.84944444
CLL,30.58944444,-96.36444444
CLT,35.21916667,-80.93583333
CMH,39.99111111,-82.87833333
CMI,40.03972222,-88.27972222
CMX,47.16777778,-88.48638889
CNY,38.75944444,-109.74611111
COD,44.51583333,-109.0275
COS,38.80888889,-104.70916667
COU,38.81361111,-92.21916667
CPR,42.90861111,-106.4625
CRP,27.77,-97.50083333
CRW,38.37277778,-81.59305556
CSG,32.51611111,-84.93888889
CVG,39.04777778,-84.66861111
CWA,44.78222222,-89.65916667
CYS,41.15583333,-104.81222222
DAB,29.1825,-81.05277778
DAL,32.84694444,-96.85333333
DAY,39.90111111,-84.22
DBQ,42.41,-90.71083333
DCA,38.85166667,-77.03694444
DDC,37.76166667,-99.965
DEC,39.83416667,-88.86861111
DEN,39.77444444,-104.87972222
DFW,32.89444444,-97.02972222
DHN,31.32,-85.44833333
DIK,46.79666667,-102.79638889
DLG,59.04166667,-158.50666667
DLH,46.8425,-92.19027778
DRO,37.15,-107.75111111
DRT,29.37416667,-100.92722222
DSM,41.53388889,-93.65666667
DTW,42.21666667,-83.34444444
DVL,48.11305556,-98.9075
EAR,40.72833333,-98.99888889
EAT,47.39972222,-120.20777778
EAU,44.86444444,-91.48722222
ECP,30.35777778,-85.79888889
EGE,39.64361111,-106.91388889
EKO,40.82388889,-115.78972222
ELM,42.16083333,-76.89527778
ELP,31.80666667,-106.37722222
ERI,42.08,-80.17861111
ESC,45.72055556,-87.08666667
EUG,44.12083333,-123.2175
EVV,38.03666667,-87.5325
EWN,35.07361111,-77.0425
EWR,40.69583333,-74.17166667
EYW,24.55555556,-81.75972222
FAI,64.81444444,-147.86277778
FAR,46.91555556,-96.81472222
FAT,36.77666667,-119.71722222
FAY,34.99138889,-78.88027778
FCA,48.31277778,-114.25111111
FLG,35.13777778,-111.67166667
FLL,26.07416667,-80.15166667
FLO,34.18888889,-79.72444444
FMN,36.74111111,-108.22916667
FNT,42.96666667,-83.74166667
FOD,42.5525,-94.18972222
FSD,43.57888889,-96.74083333
FSM,35.33666667,-94.3675
FWA,40.97833333,-85.18805556
GCC,44.35138889,-105.525
GCK,37.92861111,-100.72972222
GEG,47.62,-117.53277778
GFK,47.95194444,-97.17861111
GGG,32.38666667,-94.71527778
GJT,39.11861111,-108.51388889
GNV,29.68972222,-82.27583333
GPT,30.40611111,-89.07027778
GRB,44.48805556,-88.13055556
GRI,40.96722222,-98.30666667
GRK,31.06472222,-97.8275
GRR,42.88111111,-85.52416667
GSO,36.09194444,-79.94277778
GSP,34.89888889,-82.21388889
GST,58.4275,-135.705
GTF,47.48555556,-111.36694444
GTR,33.45027778,-88.59138889
GUC,38.53388889,-106.93888889
GUF,30.29055556,-87.67166667
GUM,13.48388889,144.79722222
HDN,40.48166667,-107.22
HGR,39.70777778,-77.73
HHH,32.21666667,-80.68333333
HIB,47.38861111,-92.83861111
HLN,46.60666667,-111.98194444
HNL,21.31861111,-157.9225
HOB,32.68861111,-103.21694444
HOU,29.645,-95.27861111
HPN,41.06888889,-73.70777778
HRL,26.22805556,-97.65222222
HSV,34.64277778,-86.77555556
HTS,38.36694444,-82.55611111
HVN,41.26527778,-72.88833333
HYA,41.66583333,-70.28055556
HYS,38.84611111,-99.27416667
IAD,38.94166667,-77.4575
IAG,43.10722222,-78.94555556
IAH,29.98333333,-95.34
ICT,37.65,-97.43277778
IDA,43.51611111,-112.06472222
IFP,35.16444444,-114.56527778
ILG,39.67833333,-75.6075
ILM,34.26694444,-77.90388889
IMT,45.81555556,-88.11416667
IND,39.72888889,-86.28166667
INL,48.56305556,-93.40416667
IPT,41.24222222,-76.92055556
ISP,40.79666667,-73.10083333
ITH,42.49027778,-76.45805556
ITO,19.72361111,-155.05805556
JAC,43.60666667,-110.73694444
JAN,32.30972222,-90.07583333
JAX,30.48472222,-81.68777778
JFK,40.63861111,-73.77694444
JLN,37.14972222,-94.49777778
JMS,46.93,-98.67833333
JNU,58.35555556,-134.57472222
JST,40.31666667,-78.83444444
KOA,19.73888889,-156.04555556
KTN,55.35833333,-131.71666667
LAF,40.41194444,-86.93361111
LAN,42.77916667,-84.58833333
LAR,41.31361111,-105.67305556
LAS,36.08,-115.15222222
LAW,34.56972222,-98.41611111
LAX,33.9425,-118.40805556
LBB,33.66222222,-101.82277778
LBE,40.27638889,-79.40277778
LBF,41.12833333,-100.69666667
LBL,37.04444444,-100.96055556
LCH,30.13111111,-93.22555556
LCK,39.81416667,-82.93222222
LEX,38.03972222,-84.60222222
LFT,30.20472222,-91.9875
LGA,40.77944444,-73.87583333
LGB,33.8175,-118.15111111
LIH,21.97916667,-159.34583333
LIT,34.72916667,-92.23444444
LNK,40.85083333,-96.75888889
LRD,27.54472222,-99.46111111
LSE,43.87722222,-91.25638889
LWB,37.85972222,-80.39861111
LWS,46.37472222,-117.01444444
LYH,37.32694444,-79.20111111
MAF,31.94083333,-102.20138889
MBS,43.53166667,-84.08166667
MCI,39.2975,-94.71388889
MCO,28.43166667,-81.32472222
MCW,43.15694444,-93.32944444
MDT,40.19305556,-76.76222222
MDW,41.785,-87.75194444
MEI,32.33722222,-88.74916667
MEM,35.04972222,-89.97861111
MFE,26.17694444,-98.23972222
MFR,42.37361111,-122.87222222
MGM,32.3,-86.39111111
MGW,39.64277778,-79.91583333
MHK,39.14222222,-96.66888889
MHT,42.93833333,-71.43888889
MIA,25.7925,-80.28611111
MKE,42.95027778,-87.89722222
MKG,43.17055556,-86.2375
MLB,28.1025,-80.64305556
MLI,41.44888889,-90.505
MLU,32.51111111,-92.03888889
MMH,37.63111111,-118.85138889
MOB,30.68833333,-88.24083333
MOT,48.25944444,-101.28083333
MQT,46.35361111,-87.39527778
MRY,36.58805556,-121.84805556
MSN,43.14194444,-89.33694444
MSO,46.91555556,-114.0875
MSP,44.88611111,-93.21777778
MSY,29.99111111,-90.25138889
MTJ,38.50055556,-107.89472222
MVY,41.39277778,-70.61666667
MYR,33.67916667,-78.92972222
OAJ,34.83027778,-77.61166667
OAK,37.72138889,-122.22083333
OGD,41.19638889,-112.01083333
OGG,20.90055556,-156.43361111
OGS,44.68166667,-75.46583333
OKC,35.39222222,-97.60166667
OMA,41.30194444,-95.89333333
OME,64.51138889,-165.44166667
ONT,34.05611111,-117.60111111
ORD,41.97805556,-87.90611111
ORF,36.89583333,-76.20138889
ORH,42.26916667,-71.87444444
OTH,43.41888889,-124.24
OTZ,66.88805556,-162.60583333
OWB,37.74083333,-87.16583333
PAE,47.90833333,-122.28138889
PAH,37.06111111,-88.7725
PBG,44.65083333,-73.46805556
PBI,26.68222222,-80.09416667
PDX,45.58916667,-122.595
PGD,26.91916667,-81.99138889
PGV,35.63333333,-77.38527778
PHF,37.13166667,-76.49333333
PHL,39.86805556,-75.24861111
PHX,33.43611111,-112.00944444
PIA,40.66138889,-89.68722222
PIB,31.4675,-89.33666667
PIE,27.90722222,-82.68555556
PIH,42.91333333,-112.59444444
PIR,44.38361111,-100.28416667
PIT,40.49666667,-80.23583333
PLN,45.57083333,-84.79277778
PNS,30.47333333,-87.1875
PPG,-14.33444444,-170.70972222
PQI,46.685,-68.0475
PRC,34.65,-112.42416667
PSC,46.26388889,-119.11472222
PSE,18.01083333,-66.56361111
PSG,56.80416667,-132.9425
PSM,43.07777778,-70.82333333
PSP,33.82666667,-116.505
PUB,38.29277778,-104.49611111
PUW,46.74472222,-117.105
PVD,41.72833333,-71.42611111
PVU,40.21805556,-111.72222222
PWM,43.64444444,-70.30361111
RAP,44.04527778,-103.05694444
RDD,40.50833333,-122.29222222
RDM,44.25444444,-121.15138889
RDU,35.87527778,-78.78194444
RFD,42.19722222,-89.0925
RHI,45.63138889,-89.4575
RIC,37.50527778,-77.31972222
RIW,43.06444444,-108.45694444
RKS,41.59638889,-109.06583333
RNO,39.49777778,-119.7675
ROA,37.32472222,-79.97638889
ROC,43.12138889,-77.67083333
ROW,33.30166667,-104.53055556
RST,43.91027778,-92.49638889
RSW,26.53611111,-81.755
SAF,35.6175,-106.08833333
SAN,32.73277778,-117.18722222
SAT,29.53333333,-98.46944444
SAV,32.1275,-81.2025
SBA,34.42777778,-119.83944444
SBN,41.70444444,-86.3125
SBP,35.23666667,-120.63916667
SCC,70.19444444,-148.46805556
SCE,40.77083333,-77.88138889
SCK,37.89444444,-121.23916667
SDF,38.17972222,-85.73861111
SEA,47.44722222,-122.30555556
SFB,28.775,-81.24027778
SFO,37.61888889,-122.375
SGF,37.24,-93.385
SGU,37.09305556,-113.59222222
SHD,38.26388889,-78.89666667
SHR,44.77416667,-106.97722222
SHV,32.44694444,-93.82555556
SIT,57.04861111,-135.36166667
SJC,37.36277778,-121.94055556
SJT,31.35972222,-100.49444444
SJU,18.44,-66.00222222
SLC,40.78416667,-111.96694444
SLN,38.79083333,-97.6525
SMF,38.69555556,-121.58972222
SMX,34.905,-120.45777778
SNA,33.67555556,-117.86694444
SPI,39.84416667,-89.67888889
SPN,15.12027778,145.73027778
SPS,33.98833333,-98.49194444
SRQ,27.39388889,-82.55416667
STC,45.54527778,-94.05833333
STL,38.74722222,-90.36444444
STS,38.50916667,-122.81166667
STT,18.33722222,-64.97333333
STX,17.70388889,-64.79888889
SUN,43.50416667,-114.30833333
SUX,42.40194444,-96.38416667
SWF,41.50583333,-74.09722222
SWO,36.15888889,-97.08555556
SYR,43.11055556,-76.1025
TBN,37.74138889,-92.14055556
TLH,30.39972222,-84.35194444
TOL,41.59083333,-83.80083333
TPA,27.97305556,-82.53527778
TRI,36.47611111,-82.40638889
TTN,40.27805556,-74.8125
TUL,36.19777778,-95.88972222
TUS,32.11611111,-110.94055556
TVC,44.74,-85.58583333
TWF,42.48194444,-114.48666667
TXK,33.45638889,-93.98916667
TYR,32.35472222,-95.39888889
TYS,35.81222222,-83.9925
UIN,39.94416667,-91.19722222
USA,35.38777778,-80.70916667
VCT,28.85111111,-96.91444444
VEL,40.43888889,-109.51027778
VLD,30.78222222,-83.27694444
VPS,30.48333333,-86.52527778
WRG,56.48444444,-132.36666667
WYS,44.68666667,-111.10472222
XNA,36.28194444,-94.30694444
XWA,60.96166667,-151.33166667
YAK,59.50916667,-139.65972222
YKM,46.56694444,-120.53777778
YUM,32.65666667,-114.60583333
